"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"PACT: A Citizen Science Project for Computing Education","B. A. da Silva; S. A. da Costa Cavalheiro; L. Foss; A. M. P. Fleischmann; A. V. Garcez","Universidade Federal de Pelotas, Pelotas, Brazil; Universidade Federal de Pelotas, Pelotas, Brazil; Universidade Federal de Pelotas, Pelotas, Brazil; Universidade Federal de Pelotas, Pelotas, Brazil; Universidade Federal de Pelotas, Pelotas, Brazil",2021 IEEE Frontiers in Education Conference (FIE),"20 Dec 2021","2021","","","1","9","This innovative practice full paper proposes a model for centralizing, categorizing and organizing Computational Thinking resources and knowledge. The term “Computational Thinking” usually refers to problem solving skills related to Computer Science. Yet, there is neither: a consensual definition of what exactly is this term about; nor which skills are involved. Even under these conditions, several studies are conducted regarding this theme around the world, as well as informal activities applied by non-researchers enthusiasts. Thus, a model to reunite both, academic and non-scientific community, around the Computational Thinking is proposed: the Partnership for Advancing Computational Thinking, PACT. On one hand it is an effort to guide convergence in the literature, leading to more standardized definitions and spotting similarities or disagreements between authors. And on the other hand, it is a platform for sharing resources and experiences between the communities, an initiative to bring the model of research with public participation (Citizen Science) to education. An expandable ontology that is able to consider the perspective of multiple authors over the subjects is used to implement the model. Three different author views and resources are instantiated to illustrate the range, expressiveness and operation of the ontology. It is revealed able to model author views from previous models, frameworks and even discursive texts, as well as linking resources of different natures by their purpose and subjects approached.","2377-634X","978-1-6654-3851-3","10.1109/FIE49875.2021.9637147","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior – Brasil (CAPES); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9637147","Computer Science;Computational Thinking;Citizen Science;Ontology","Computer science;Vocabulary;Visualization;Computational modeling;Conferences;Education;Collaboration","","","","33","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"Digital Storybook of Young Product Innovators: An E-Learning Approach to Support Creative Thinking for Elementary Science","H. J. Jih; T. -Y. Huang; C. -C. Lin","Graduate Institute of eLearning Technology, National Hsinchu University of Education, Hsinchu, Taiwan; ELearning Division, Gjun Information Company Limited, Taipei, Taiwan; Graduate Institute of Management, National Taiwan University of Science and Technology, Taipei, Taiwan",2011 International Conference on Internet Technology and Applications,"29 Aug 2011","2011","","","1","4","No design, no business. Higher test score doesn't represent better global competitiveness. Creativity is central to the competitive capabilities of 21st century citizens and thus creativity education should play crucial role for every grade curricular. However, the development of creative potential requires work and incubation over time. It takes more efforts than standard curricula can afford. What role can e-learning strategy with focus on science and technology have in sparking innovation? Such e-learning strategy can be the digital storybooks which convey science histories or technology innovation stories with domain knowledge, creative and critical thinking, and problem solving--the basic ingredients of creativity and innovation. Learning occurs within a real world of our daily life. The connections between learners' script memory and contextual learning materials have a positive impact on meaningful learning. Therefore, histories of scientific findings as well as technology innovations would benefit science education especially for elementary pupils. However, there are a few story-based learning materials for primary science curricula. This study design and develop a digital storybook based upon true story of Taiwan young inventors. The process of problem awareness, situation perception, idea generation, solution emergence and selection as well as action preparations are elaborated in the story. Pilot testing of target users show a strong positive attitude toward this digital storybook.","","978-1-4244-7255-0","10.1109/ITAP.2011.6006334","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6006334","","Technological innovation;History;Electronic learning;Presses;Computational modeling;Materials","","","","18","IEEE","29 Aug 2011","","","IEEE","IEEE Conferences"
"Discovering children's competences in coding through the analysis of Scratch projects","S. Papavlasopoulou; M. N. Giannakos; L. Jaccheri","Norwegian University of Science and Technology (NTNU), Trondheim, Norway; Norwegian University of Science and Technology (NTNU), Trondheim, Norway; Norwegian University of Science and Technology (NTNU), Trondheim, Norway",2018 IEEE Global Engineering Education Conference (EDUCON),"24 May 2018","2018","","","1127","1133","Computational thinking and coding has received considerable attention over the past several years. Considerable efforts worldwide suggest the need for more empirical studies providing evidence-based practices to introduce and engage children with coding activities. The main goal of this study is to examine which programming concepts students use when they want to develop a game, and what is the interrelation among these concepts. To achieve our goal, a field study was designed and data were collected from coding activities. In detail, during a two-week period, one-day workshops were organized almost every day on which 44 children participating in, with ages between 8-17. The workshops follow a constructionist approach and comprise of two parts. First the children interact with robots, and then develop a game using Scratch. The findings provide a deeper understanding on how children code by showing the use of specific programming concepts to develop their projects and their correlations. Hence, we improve our knowledge about children's competences in coding.","2165-9567","978-1-5386-2957-4","10.1109/EDUCON.2018.8363356","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363356","Computer Science Education;maker movement;coding;computantional thinking;constructionism","Encoding;Games;Conferences;Programming profession;Robots;Education","","3","","23","IEEE","24 May 2018","","","IEEE","IEEE Conferences"
"Do Structured Flowcharts Outperform Pseudocode? Evidence From Eye Movements","M. Andrzejewska; A. Stolińska","Institute of Security and Computer Science, Pedagogical University of Krakow, Krakow, Poland; College of Economics and Computer Science of Krakow, Krakow, Poland",IEEE Access,"26 Dec 2022","2022","10","","132965","132975","Computational thinking is a key universal competence, often taught using methods specific to computer science. One step towards achieving it is learning to analyse and create algorithms. Researchers have long been trying to establish how the form of representation of algorithms (pseudocode versus flowchart) affects its understanding and have reached varying, sometimes conflicting results. This article presents findings that provide objective new data on this topic. In our experiment, we used two different types of algorithmic tasks with three levels of complexity and a group of 114 research participants with varying programming skills. In addition, we used an eye tracking technique that allowed us to collect detailed information about the subjects’ attention distribution during analysis of algorithms. Our results show that subjects took significantly less time to analyse flowcharts (than they did with pseudocode), made much fewer errors, and had higher confidence in the correctness of their solution. Based on eye tracking data, a reduced number of both re-analyses of the algorithm and input data re-referencing was observed for graphically presented tasks. The difference in favour of flowcharts was revealed (with few exceptions) for all levels of algorithm complexity (simple, medium, complex), while regarding the duration of analysis the advantage of flowcharts increased with the growing complexity of algorithms. For complex algorithms, a significant relationship was observed between algorithm presentation and level of programming skills versus the duration of task solving and confidence level. Our study strongly supports the idea of using graphic representation of algorithms both when learning to code and in acquiring computational thinking skills.","2169-3536","","10.1109/ACCESS.2022.3230981","Scientific Research Fund of the Pedagogical University of Krakow; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9994685","Coding;computational thinking;eye tracking;flowchart;pseudocode;solving algorithmic problems","Flowcharts;Codes;Gaze tracking;Task analysis;Computer languages;Education;Programming profession","","3","","40","CCBY","20 Dec 2022","","","IEEE","IEEE Journals"
"Teaching reform of programming basic course based on SPOC blended teaching method","X. Li; C. Gu","College of Computer Science and Electronic Engineering, Hunan University, Changsha, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, China",2020 15th International Conference on Computer Science & Education (ICCSE),"22 Sep 2020","2020","","","411","415","As an important course in computer education in higher education, the programming basic course has problems in teaching and learning. The role of teachers is knowledge imparters. And the teaching methods despise students' development. Students often have fears and difficulties in their study, which is not conducive to build their computer application ability and computational thinking. In view of the teaching status quo and existing problems of the programming basic course, this paper proposes to use SPOC blended teaching mode to clarify the role of teachers and students, to develop an interactive teaching mode, to adopt case teaching, to enrich SPOC resources. And we provide students with timely feedback, and change the evaluation methods and other aspects. Through these reforms, we found that students' ability to read and write programs have been improved. The quality of teaching, and the cultivation of computational thinking are improved.","2473-9464","978-1-7281-7267-5","10.1109/ICCSE49874.2020.9201802","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201802","programming basic course;SPOC;blended teaching mode;teaching reform;computational thinking;teaching quality","Programming profession;Grammar;Training;Videos","","1","","8","IEEE","22 Sep 2020","","","IEEE","IEEE Conferences"
"Exploring the Design and Implementation of a Robotic-Coding Camp in Teacher Education","P. Y. Arslan; F. Kayali","Centre for Teacher Education, University of Vienna, Vienna, Austria; Centre for Teacher Education, University of Vienna, Vienna, Austria",2023 IEEE Frontiers in Education Conference (FIE),"5 Jan 2024","2023","","","1","5","This study focused on a bachelor- university-level course that aims to design and implement a robotic-coding camp to train pre-service teachers. Seventeen pre-service teachers participated in this study conducted in the Computational Empowerment Lab at the Center of Teacher Education at the University of Vienna. The researchers aimed to identify specific improvement strategies for in-service and pre-service teachers to enhance their pedagogical practices in designing a robotic-coding camp by promoting student critical thinking, computational thinking, and problem-solving competencies. Additionally, the study proposed to identify the relevant features of the camp's design and implementation that can promote practitioners' engagement and address the challenges they face. The course was offered during the summer semester of 2023. For the procedure of the study, pre-service teachers thought about a problem or situation using the phenomena-based learning method and explained the problem using mediating tools, including educational robots, 3D printers, laser-cutting, and creative Lego boxes, among others. At the end of the course, students developed their project, designed a prototype of a robotic-coding camp, and created digital stories as real-world basis problem statements for their project. Students' assignments and group work interactions, including forum discussions in Moodle, reflection papers, and hands-on activities, were used as data sources. Data collected and analyzed by qualitatively. Participatory action research was used as a research method. The results provide guidelines for how to design and implement robotic coding camps and digital stories for teachers who might want to implement a robotic camp in their future careers. In addition, the results suggest improvement strategies for designing robotic coding activities, including four action steps: (1) phenomenon-based problem statement, (2) visualizing the problem as a digital story, (3) finding a pattern in the problem and (4) creating the learning environment and coding. The most challenging part was the third step, in which participant had difficulty finding a pattern within the problem.","2377-634X","979-8-3503-3642-9","10.1109/FIE58773.2023.10343492","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10343492","robotic coding;digital storytelling;action research;participatory design;and computational thinking","Learning systems;Three-dimensional displays;Soft sensors;Prototypes;Encoding;Reflection;Problem-solving","","1","","27","IEEE","5 Jan 2024","","","IEEE","IEEE Conferences"
"Knowledge Management in Computer-Supported Learning","L. Li; Y. Zheng; F. Zheng; S. Zhong","School of Education Science, Northeast Normal University, Changchun, China; School of Computer Science & Information Technology, Northeast Normal University, Changchun, China; School of Media Science, Northeast Normal University, Changchun, China; School of Software, Northeast Normal University, Changchun, China",2010 International Conference on Management and Service Science,"16 Sep 2010","2010","","","1","4","A learning process is substantially a knowledge management process. Computers can play multiple roles in human learning and facilitated human learning processes by providing technical, cognitive, and social support. This paper discusses knowledge management in computer-supported learning, explores the knowledge management process in learning process, and suggests how to better support knowledge management in computer-supported learning.","","978-1-4244-5325-2","10.1109/ICMSS.2010.5576678","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5576678","","Knowledge management;Context;Computers;Ontologies;Humans;Computational modeling;Education","","1","","17","IEEE","16 Sep 2010","","","IEEE","IEEE Conferences"
"Technology-enhanced active learning in undergraduate biology education collaborative group work and peer assessment","Yuhua Hu; P. McLaughlin","The School of Biological Sciences, University of Edinburgh, Edinburgh, UK; The School of Biological Sciences, University of Edinburgh, Edinburgh, UK",2010 2nd International Conference on Education Technology and Computer,"29 Jul 2010","2010","3","","V3-514","V3-518","Teaching of the science subjects in higher education is undergoing a transition from the traditional `chalk and talk' model to a student-centered one that aims to engage students and encourage active learning. Influenced by the social constructivist paradigm, modern teaching promotes collaborative learning and peer assessment as two effective active learning strategies to which technologies are becoming increasingly important assistance. This paper presents three cases in which various technologies were deployed in some undergraduate biology courses to maximize students' active learning opportunities.","2155-1812","978-1-4244-6370-1","10.1109/ICETC.2010.5529487","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5529487","active learning;collaborative;peer assessment;pedagogy;clickers;biology","Educational technology;Collaborative work;Computer science education;Modems;Biology computing;Peer to peer computing;Computational biology;International collaboration;Electronic mail;Biological system modeling","","","","30","IEEE","29 Jul 2010","","","IEEE","IEEE Conferences"
"Visual, Interactive Teaching Design and Application on Advanced Mathematics Course in Application-Oriented Universities of Technology","Z. Lixin","Guilin University of Aerospace Technology, Guilin, China",2016 Eighth International Conference on Measuring Technology and Mechatronics Automation (ICMTMA),"13 Jun 2016","2016","","","901","904","First of all, this paper discusses the role and significance of visual, interactive teaching in advanced mathematics course. Then we discuss and study the application of visual, interactive teaching design in advanced mathematics course respectively. At last, the goal and the key problems that can be achieved in interactive teaching design about advanced mathematics course are introduced.","2157-1481","978-1-5090-2312-7","10.1109/ICMTMA.2016.216","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7488692","Application-oriented Universities of Technology;Advanced Mathematics;Visualization;Interactive","Education;Visualization;Software;Mathematical model;Computational modeling","","","","6","IEEE","13 Jun 2016","","","IEEE","IEEE Conferences"
"Improving undergraduates' software engineering ability by adapting blended learning model","J. Huang; L. Hang","Department of Computer Science and Technology, China Jiliang University, Hangzhou, Zhejiang, China; Department of Computer Science and Technology, China Jiliang University, Hangzhou, Zhejiang, China",2010 International Conference on Artificial Intelligence and Education (ICAIE),"18 Nov 2010","2010","","","521","524","Aimed at requirements of cultivating software engineering technicians in university, contrasted the knowledge structure requirement in software engineering specialty of China Jiliang University, we put forward a new blended learning model based on the learning theory and pedagogical strategies, which integrate online e-learning activities and face-to-face learning activities in our teaching. It not only improves the effect of teaching, but also enhances the core competition to students, so that they can suit to the requirement of social for software engineering specialty, help employee by themselves. In addition, the paper presents the design, implementation, and its implications for the learning of software engineering curriculum.","","978-1-4244-6936-9","10.1109/ICAIE.2010.5640960","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5640960","Software Engineering Education;Blended Learning;Teamwork Skills;Pedagogical Strategies","Programming profession;Teamwork;Variable speed drives;Java;Computational modeling;Analytical models","","","","6","IEEE","18 Nov 2010","","","IEEE","IEEE Conferences"
"Knowledge acquisition at human-computer interaction for product definition","L. Horváth; I. J. Rudas","John von Neumann Faculty of Informatics, Institute of Intelligent Engineering Systems, Óbuda University, Budapest, Hungary; John von Neumann Faculty of Informatics, Institute of Intelligent Engineering Systems, Óbuda University, Budapest, Hungary",2011 6th IEEE International Symposium on Applied Computational Intelligence and Informatics (SACI),"9 Jun 2011","2011","","","489","494","Knowledge based methodology is one of the primary areas of development in engineering problem solving methods for decades. In the meantime, product definition has been moved into model space. Establishment of the STEP (Standard for the Exchange of Product Model Data, ISO 10303) product model standard and it application at leading industries during 90's facilitated development of model based integrated solutions for product engineering. During the past decade, the new paradigm of product lifecycle management stimulated integrated handling of information for lifecycle of products. Product model has become a medium in communication between end users of engineering systems including humans and controlled equipment. One of the most critical elements in this scenario is communication of knowledge with product modeling processes in order to generate knowledge background of engineering object definition in product model. This paper introduces a method by the authors to extract knowledge background during definition of product objects in the form of initiated affect on product. Human thinking process is modeled by its elements during definition of intent for a change of a product. Evolving steps towards the defined object changes and the served objectives for the defined objects are recorded. Following this, process for the definition of coordinated product behaviors and affect propagation in a specific and purposeful change affect zone are explained. Finally, an extended product definition space is explained as medium in integrated product modeling using the proposed method.","","978-1-4244-9109-4","10.1109/SACI.2011.5873053","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5873053","","Humans;Industries;Aerospace electronics;Data models;Knowledge engineering;Informatics;Adaptation model","","2","","10","IEEE","9 Jun 2011","","","IEEE","IEEE Conferences"
"Study of Modeling Technology of 3D Virtual Teacher in Virtual Learning Environment","H. Zhao; B. Sun","College of Information Science and Technology, Beijing Normal University, Beijing, China; College of Information Science and Technology, Beijing Normal University, Beijing, China",2009 International Conference on Computational Intelligence and Software Engineering,"28 Dec 2009","2009","","","1","4","At present, the lack of emotion is very serious in E-Learning. The most learning platforms can't imitate teaching behavior of the real teacher, and can't provide the emotional communication between teachers and students, so students are easy to lose learning interest. In 3D virtual learning environment based on virtual reality, a 3D virtual teacher can imitate the figure, action, facial expression and teaching behavior of the real teacher, which enrich emotional experience, arouse learning interest and promote creative thinking of students. The modeling technology of 3D virtual teacher is discussed in this paper.","","978-1-4244-4507-3","10.1109/CISE.2009.5363003","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5363003","","Education;Solid modeling;Electronic learning;Bones;Muscles;Skin;Virtual reality;Avatars;Motion control;Computer science","","1","","19","IEEE","28 Dec 2009","","","IEEE","IEEE Conferences"
"The difficulties of implementing Agile and within it the Scrum framework","Á. Mészáros; Á. Csiszárik-Kocsir","TEMACO Hungary Bt., Budapest, Hungary; Keleti Károly Faculty of Business and Management, Óbuda University, Budapest, Hungary",2022 IEEE 10th Jubilee International Conference on Computational Cybernetics and Cyber-Medical Systems (ICCC),"21 Oct 2022","2022","","","000299","000304","Agile is a relatively new area of project management schools and methodologies that many companies have adopted in recent years. However, it is not just a task structure, a documentation requirement, or a defined and formalized manifestation of processes, but the integration of a new way of thinking and approach into everyday work. When implementing Scrum, different Agile elements may be cumbersome for different professional levels and job positions for different reasons. The cumbersomeness and the causes are investigated in our primary research.","","978-1-6654-8177-9","10.1109/ICCC202255925.2022.9922731","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9922731","project management;Agile;Scrum;implementation","Conferences;Project management;Atmosphere;Companies;Documentation;Inspection;Feeds","","","","16","IEEE","21 Oct 2022","","","IEEE","IEEE Conferences"
"Research into Application of Interactive Whiteboard to Interactive Educational Mode","L. Zeng; M. Zuo; X. Lu","Information and Technology Department, Central China Normal University, Wuhan, China; Information and Technology Department, Central China Normal University, Wuhan, China; Information and Technology Department, Central China Normal University, Wuhan, China",2010 International Conference on Computational Intelligence and Software Engineering,"30 Dec 2010","2010","","","1","4","Interactive Educational Mode which emphasizes various kinds of actions during teaching process is targeted at cultivating students' discovery, analyzing and solving problem, improving autonomous learning ability and fostering the mode of incentive thinking, in a large extent, it embodies the ""double-subject"" position. However, as a new information technological tool, electronic interactive whiteboard has been concerned by lots of experts and scholars for its powerful interactive function. Therefore, for improving the instructional quality and reforming the educational mode, it has an important significance that how to apply interactive whiteboard to Interactive Classroom Teaching.","","978-1-4244-5391-7","10.1109/CISE.2010.5676988","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5676988","","Education;Multimedia communication;Information technology;Computers;Charge carrier processes;Computer interfaces;Media","","","","7","IEEE","30 Dec 2010","","","IEEE","IEEE Conferences"
"To Play with a Computer System","L. Yingjie; W. Cuihua","The information engineering Department, Zhejiang Forest University, Zhejiang, China; The computer science Department, Harbin Institute of Technology, Weihai, Shandong, China",2008 International Symposium on Computer Science and Computational Technology,"30 Dec 2008","2008","1","","702","704","Games are attractive and they can improve the critical thinking and problem solving skills. To research their use in education is significant. The course ¿the Computer Composing Principles¿ is a core course in the computer science engineering degree. To understand the principles of each computer component deeply and expressly, a proposal is represented in the paper that is to play with a computer system. To take each computer component as a pass, the player is provided several selective strategies to construct the component. The game system feed back the efficiency of player¿s selection timely. The scenes, rules and the frame of the game system are described in details.","","978-1-4244-3746-7","10.1109/ISCSCT.2008.89","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4731523","games;the computer systems;passes;strategies","Computer science;Programming profession;Layout;Computer aided instruction;Problem-solving;Proposals;MATLAB;Computer science education;Feeds;TV","","","","4","IEEE","30 Dec 2008","","","IEEE","IEEE Conferences"
"Seeking the Treasures of Theoretical Computer Science Education: Towards Educational Virtual Reality for the Visualization of Finite State Machines","A. Dengel","Universitat Passau, Passau, Bayern, DE","2018 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)","17 Jan 2019","2018","","","1107","1112","As metaphorical representations showed beneficial effects on several parts of computer science, this paper focuses on the question: How can metaphorical representations in VR enhance the understanding of theoretical computer science concepts? A concept for an immersive educational virtual environment for learning the theoretical computer science concept of finite state machines is presented. A first draft for the virtual reality aims to immerse students in a world of islands (states) with treasure islands (final states). Each symbol from the input alphabet is illustrated through another boat on every island. Students navigate through the islands by looking at one of the boats on the current island using a head-mounted-display. They then take the shipping route of the selected boat (the state-transition function) by pressing a button on a controller. The goal of the game can either be to reach Treasure Island and open the treasure chest or to complete the map.","2470-6698","978-1-5386-6522-0","10.1109/TALE.2018.8615288","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8615288","immersive learning;finite state machine;computer science unplugged;computational thinking;theoretical computer science","Automata;Games;Computer science;Education;Visualization;Boats;Virtual reality","","10","","34","IEEE","17 Jan 2019","","","IEEE","IEEE Conferences"
"The Roles of Code in Computational Science","K. Hinsen","Centre de Biophysique Moléculaire, Orléans",Computing in Science & Engineering,"30 Dec 2016","2017","19","1","78","82","Many of us write code regularly as part of our scientific activity, perhaps even as a full-time job. But even though we write--and use--more and more code, we rarely think about the roles that this code will have in our research, in our publications, and ultimately in the scientific record. In this article, the author outlines some frequent roles of code in computational science. These roles aren't exclusive; in fact, it's common for a piece of code to have several roles, at the same time or as an evolution over time. Thinking about these roles, ideally before starting to write the code, is a good habit to develop.","1558-366X","","10.1109/MCSE.2017.18","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7802531","code;best practices;programming;scientific computing","Software;Libraries;Computer languages;Context;Writing;Programming;Computers","","1","","3","IEEE","30 Dec 2016","","","IEEE","IEEE Magazines"
"A National INCLUDES Alliance Effort to Integrate Problem-Solving Skills into Computer Science Curriculum","A. Q. Gates; E. Q. Villa; S. Hug; C. Convertino; J. Strobel","Department of Computer Science, University of Texas at El Paso, El Paso, TX, USA; Center for Education Research and Policy, University of Texas at El Paso, El Paso, TX, USA; Alliance for Technology, Learning and Society Institute University of Colorado Boulder, Boulder, CO, USA; Department of Teacher Education, University of Texas at El Paso, El Paso, TX, USA; School of Information Science & Learning Technologies, University of Missouri, Columbia, Missouri, USA",2019 IEEE Frontiers in Education Conference (FIE),"12 Mar 2020","2019","","","1","4","This Innovative Practice Work-In-Progress paper elucidates the approach of the NSF-funded CAHSI INCLUDES Alliance for creating change in students' competencies by an effort across eight institutions to support the delivery of one-and two-credit hour courses for three levels of problem solving in Computer Science: general problem solving, computational thinking in problem solving, and algorithmic thinking in problem solving. The courses were developed to address industry's need for improved problem-solving skills, incorporating consistent, deep collaboration with Google technical staff The first of its kind for CAHSI, the problem-solving courses are fewer credit hours than typical courses in order to fit within a traditional curriculum. The intent is to instill complementary problem-solving, computational thinking skills, and logical reasoning needed to succeed in computer science, and make this content available across different student populations at various stages in their academic pathways. Advanced problem solving prepares students for competitive interviews. The courses create opportunities to learn across academic levels, and create new student communities, mentorship opportunities, and social connections to support retention. The paper reports on the course design, student reflection, assessment and evaluation, and an ethnographic study of the courses.","2377-634X","978-1-7281-1746-1","10.1109/FIE43999.2019.9028360","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9028360","problem solving;computational thinking;computer science education;reflection","Problem-solving;Reflection;Computer science;Industries;Education;Interviews;US Government","","","","12","IEEE","12 Mar 2020","","","IEEE","IEEE Conferences"
"Artificial Cognitive Systems That Can Answer Human Creativity Tests: An Approach and Two Case Studies","A. -M. Olteţeanu; Z. Falomir; C. Freksa","Bremen Spatial Cognition Center, Universität Bremen, Bremen, Germany; Bremen Spatial Cognition Center, Universität Bremen, Bremen, Germany; Bremen Spatial Cognition Center, Universität Bremen, Bremen, Germany",IEEE Transactions on Cognitive and Developmental Systems,"8 Jun 2018","2018","10","2","469","475","Creative cognitive systems are rarely assessed with the same tools as human creativity. In this paper, an approach is proposed for building cognitive systems which can solve human creativity tests. The importance of using cognitively viable processes, cognitive knowledge acquisition and organization, and cognitively comparable evaluation when implementing creative problem-solving systems is emphasized. Two case studies of artificial cognitive systems evaluated with human creativity tests are reviewed. A general approach is put forward. The applicability of this general approach to other creativity tests and artificial cognitive systems, together with ways of performing cognitive knowledge acquisition for these systems are then explored.","2379-8939","","10.1109/TCDS.2016.2629622","Deutsche Forschungsgemeinschaft for the Creative Cognitive Systems; Universität Bremen through the 04-Independent Projects for Postdocs action for the project Cognitive Qualitative Descriptions and Applications (CogQDA: https://sites.google.com/site/cogqda/); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7745913","Cognitive knowledge acquisition;cognitive processing;cognitive systems;cognitively-comparable evaluation;computational creativity;human creativity","Creativity;Problem-solving;Rats;Knowledge acquisition;Context;Cognition;Computational modeling","","13","","49","IEEE","16 Nov 2016","","","IEEE","IEEE Journals"
"Critical Community-Centeredness: Ethical Considerations for Computational Archival Studies","M. Dickerson; A. E. Yun","Digital Scholarship Services, University of California, Irvine Libraries, Irvine, USA; Special Collections & Archives, University of California, Irvine Libraries, Irvine, USA",2023 IEEE International Conference on Big Data (BigData),"22 Jan 2024","2023","","","2032","2035","In this paper, we call for computational archival studies to prioritize social justice and community-centeredness. Our initial research findings, as well as the work of community archives, provide evidence of the need to elevate and truly center the voices of those depicted (or underrepresented) in large-scale digital archives, leveraging the power of computational thinking with the transformative experience of seeing oneself represented (or representing oneself) in digital collections.","","979-8-3503-2445-7","10.1109/BigData59044.2023.10386092","Andrew W. Mellon Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10386092","community archives;digitization;digital archives","Humanities;Ethics;Generative AI;Resists;Learning (artificial intelligence);Big Data","","","","14","IEEE","22 Jan 2024","","","IEEE","IEEE Conferences"
"How to Develop CT Skills Using Robotics Projects Combined with Arts - a Pilot Study","K. Miková; Z. Kubincová","Faculty of Mathematics, Physics and Informatics, Comenius University Bratislava, Bratislava, Slovakia; Faculty of Mathematics, Physics and Informatics, Comenius University Bratislava, Bratislava, Slovakia",2023 21st International Conference on Emerging eLearning Technologies and Applications (ICETA),"12 Dec 2023","2023","","","365","370","With the introduction of distance learning during the lockdown, teachers faced a number of problems on how to implement the teaching. Educational robotics was particularly negatively affected by this period. In our country, educational robotics is usually taught in informatics classes. However, in many schools, the teaching of informatics during the lockdown was very limited and often focused only on basic digital skills. As a similar situation occurred in several European countries, the idea of supporting teachers in such cases was proposed. Within an international project we are involved in, a methodology is being designed to develop computational thinking in students at all school levels through educational robotics in combination with a school arts subject. The methodology is based on the idea of project-based learning and should use blended learning methods. In this paper, we describe the planning and the course of an educational activity – a project – using the currently developed methodology. The results presented are from its pilot validation with lower-secondary students without previous experience with robotics. The project combined the theme of Greek myths with robotics using LEGO SPIKE Prime. During the validation, we focused primarily on students’ work with basic programming concepts. Our research problem was to validate the quality and potential of the proposed methodology and the computational thinking skills it can develop. The paper concludes with recommendations for further development of the methodology and also for the use of the selected robotic kit with respect to programming in informatics classes.","","979-8-3503-7069-0","10.1109/ICETA61311.2023.10343894","Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10343894","","Art;Education;Urban areas;Software;Planning;Informatics;Robots","","","","21","IEEE","12 Dec 2023","","","IEEE","IEEE Conferences"
